date;category;value
2024-04-07;Все категории;9.9
2024-03-31;Все категории;13.9
2024-03-24;Все категории;9.1
2024-03-17;Все категории;11
2024-03-10;Все категории;14.5
2024-03-03;Все категории;16.3
2024-02-25;Все категории;15.9
2024-02-18;Все категории;14.6
2024-02-11;Все категории;16.5
2024-02-04;Все категории;17.9
2024-01-28;Все категории;16.1
2024-01-21;Все категории;16
2024-01-14;Все категории;12.4
2024-01-07;Все категории;7.8
2023-12-31;Все категории;12.1
2023-12-24;Все категории;15.4
2023-12-17;Все категории;14.5
2023-12-10;Все категории;14.9
2023-12-03;Все категории;14.2
2023-11-26;Все категории;15.1
2023-11-19;Все категории;13.4
2023-11-12;Все категории;15.7
2023-11-05;Все категории;14
2023-10-29;Все категории;13.5
2023-10-22;Все категории;13.4
2023-10-15;Все категории;15.7
2023-10-08;Все категории;17.9
2023-10-01;Все категории;19.7
2023-09-24;Все категории;15.7
2023-09-17;Все категории;14
2023-09-10;Все категории;13
2023-09-03;Все категории;18.7
2023-08-27;Все категории;15.5
2023-08-20;Все категории;15.3
2023-08-13;Все категории;14.5
2023-08-06;Все категории;16.6
2023-07-30;Все категории;10.2
2023-07-23;Все категории;9
2023-07-16;Все категории;9.9
2023-07-09;Все категории;10.5
2023-07-02;Все категории;6.1
2023-06-25;Все категории;7.7
2023-06-18;Все категории;7.5
2023-06-11;Все категории;7.2
2023-06-04;Все категории;7.7
2023-05-28;Все категории;7.3
2023-05-21;Все категории;9.3
2023-05-14;Все категории;7.8
2023-05-07;Все категории;11
2023-04-30;Все категории;15.4
2023-04-23;Все категории;10.3
2023-04-16;Все категории;14.2
2023-04-09;Все категории;15.8
2023-04-02;Все категории;17.5
2023-03-26;Все категории;14.7
2023-03-19;Все категории;6.8
2023-03-12;Все категории;2.7
2023-03-05;Все категории;-9.2
2023-02-26;Все категории;-1.6
2023-02-19;Все категории;5.1
2023-02-12;Все категории;6.1
2023-02-05;Все категории;9.6
2023-01-29;Все категории;6.7
2023-01-22;Все категории;5
2023-01-15;Все категории;7.2
2023-01-08;Все категории;6.8
2023-01-01;Все категории;6.8
2022-12-25;Все категории;4.1
2022-12-18;Все категории;4.1
2022-12-11;Все категории;4.9
2022-12-04;Все категории;6.1
2022-11-27;Все категории;7.3
2022-11-20;Все категории;7.5
2022-11-13;Все категории;6.1
2022-11-06;Все категории;26.2
2022-10-30;Все категории;5.5
2022-10-23;Все категории;7.2
2022-10-16;Все категории;6.1
2022-10-09;Все категории;5.9
2022-10-02;Все категории;3.1
2022-09-25;Все категории;5.6
2022-09-18;Все категории;5.8
2022-09-11;Все категории;6.7
2022-09-04;Все категории;5.6
2022-08-28;Все категории;7.1
2022-08-21;Все категории;9
2022-08-14;Все категории;7.6
2022-08-07;Все категории;5.7
2022-07-31;Все категории;7.4
2022-07-24;Все категории;6.7
2022-07-17;Все категории;9.2
2022-07-10;Все категории;10.5
2022-07-03;Все категории;11
2022-06-26;Все категории;7.3
2022-06-19;Все категории;6.8
2022-06-12;Все категории;8.2
2022-06-05;Все категории;10.9
2022-05-29;Все категории;8
2022-05-22;Все категории;7.7
2022-05-15;Все категории;8.6
2022-05-08;Все категории;10.5
2022-05-01;Все категории;4.8
2022-04-24;Все категории;8.2
2022-04-17;Все категории;8.6
2022-04-10;Все категории;10.5
2022-04-03;Все категории;6.7
2022-03-27;Все категории;8.8
2022-03-20;Все категории;18.4
2022-03-13;Все категории;23
2022-03-06;Все категории;30.5
2022-02-27;Все категории;21
2022-02-20;Все категории;15
2022-02-13;Все категории;13.7
2022-02-06;Все категории;12.4
2022-01-30;Все категории;12.2
2022-01-23;Все категории;16.1
2022-01-16;Все категории;19.2
2022-01-09;Все категории;12.2
2022-01-02;Все категории;15.9
2021-12-26;Все категории;14.4
2021-12-19;Все категории;17.9
2021-12-12;Все категории;18.3
2021-12-05;Все категории;17
2021-11-28;Все категории;18.3
2021-11-21;Все категории;18.6
2021-11-14;Все категории;18.7
2021-11-07;Все категории;6.6
2021-10-31;Все категории;16.7
2021-10-24;Все категории;15.5
2021-10-17;Все категории;16.5
2021-10-10;Все категории;16.6
2021-10-03;Все категории;14.3
2021-09-26;Все категории;14.7
2021-09-19;Все категории;15.5
2021-09-12;Все категории;17.6
2021-09-05;Все категории;21.7
2021-08-29;Все категории;14.4
2021-08-22;Все категории;14.8
2021-08-15;Все категории;17.3
2021-08-08;Все категории;21.9
2020-10-25;Все категории;0.7
